plotID;species;mean_N;sd_N;mean_C;sd_C;mean_Al;sd_Al;mean_Ca;sd_Ca;mean_Fe;sd_Fe;mean_K;sd_K;mean_Mg;sd_Mg;mean_Mn;sd_Mn;mean_Na;sd_Na;mean_P;sd_P;mean_Si;sd_Si
KBPL9;Trichylia Volkensii;3.07;-9999;47.54;-9999;15.48;-9999;147.03;-9999;4954.54;-9999;174.11;-9999;6194.62;-9999;2754.88;-9999;472.04;-9999;21.28;-9999;1547.69;-9999
NPL1;Carapa Grandiflora;1.92;0.1;48.96;0.38;25.6;1.38;145.78;43.1;5593.7;2097.34;195.63;44.6;7853.65;3803.98;2626;1733.46;350.29;278.05;33.61;23.63;848.68;118.28
NPL1;Syzygium Guineense;1.82;0.13;49.24;2.46;27.06;0.78;441.65;310.36;6801.57;3536.67;262.61;29.02;4759.4;563.72;2367.31;317.61;445.87;274.17;24.58;8.69;833.52;123.83
NPL1;Cleistanthus Polystachyus;1.9;0.11;49.61;0.76;26.19;1.15;136.73;39.27;5932.36;5797.54;212.7;71.89;9493.03;9102.58;1890.01;1419.55;369.21;292.43;57.49;73.69;1181.63;525.44
NPL10;Carapa Grandiflora;1.93;0.25;48.67;0.48;25.57;3.82;443.96;365.15;3476.25;668.72;298.83;60.58;8672.17;2819.28;1857.49;724.61;303.94;200.2;18.33;0.59;1214.6;729.2
NPL10;Syzygium Guineense;1.53;0.08;50.94;4;33.22;0.97;120.46;15.58;5626.36;1284.36;157.76;65.51;6797.83;250.24;2286.56;455.76;294.43;199.93;21.72;2.58;878.91;286.14
NPL10;Melchiora Schliebenii ;1.63;0.14;49.06;0.25;30.3;2.64;483.67;495.51;4473.07;1298.55;169.81;48.22;7423.53;657.91;2829.96;497.2;477.03;120.96;19.15;5.35;767.81;178.02
NPL10;Cleistanthus Polystachyus;-9999;-9999;-9999;-9999;-9999;-9999;144.35;-9999;20118.99;-9999;212.62;-9999;4905.88;-9999;1660;-9999;152.15;-9999;550.08;-9999;825.12;-9999
NPL11;Melchiora Schliebenii ;1.73;0.2;49.5;0.23;28.86;3.25;872.74;725.6;4019.82;277.4;302.94;72.11;7021.42;1735.84;2632.36;250.2;330.2;198.01;18.28;4.04;898.38;194.63
NPL11;Carapa Grandiflora;1.96;0.09;48.98;0.31;25.06;1.05;147.42;64.25;2286.2;292.14;216.61;81.67;7836.3;614.46;1815.75;426.6;129.69;72.46;13.82;0.13;859.01;194.18
NPL11;Chionanthus Africanus ;2.39;0.27;47.26;0.58;19.85;2;138.23;0.48;4079.77;731.03;246.77;55.45;10413.35;2442.37;1739.1;461.73;89.23;101.43;26.92;4.96;1069.28;438.07
NPL11;Syzygium Guineense;1.58;0.09;48.24;0.27;30.64;1.76;201.39;115.23;7564.7;5731.55;253.61;124.45;9942.98;3781.52;2352.34;243.55;302.6;204.52;94.47;117.74;1158.4;643.22
NPL11;Symphonia Globulifera;2.03;-9999;48.06;-9999;23.7;-9999;477.23;-9999;7291.85;-9999;497.45;-9999;5475.96;-9999;3431.58;-9999;780.55;-9999;34.38;-9999;845.26;-9999
NPL12;Carapa Grandiflora;1.76;0.24;47.42;2.67;27.08;2.19;145.66;4.01;2420.86;265.51;207.23;21.14;5384.17;1714.56;1617.88;573.92;380.09;116.71;13.65;3.14;924.83;66.75
NPL12;Ixora Burundiensis;1.83;0.11;48.47;0.52;26.48;1.28;145.43;68.03;4102.74;1115.15;176.49;50.85;7923.86;1973.86;1880.37;550.01;102.14;96.78;24.55;12.18;830.11;222.33
NPL12;Chionanthus Africanus ;2.05;0.17;46.9;0.23;23.02;2.05;231.93;179.12;6833.47;2336.04;268.78;124.49;9867.78;1525;2345.19;518.36;30.44;5.12;29.04;13.24;1285.12;192.65
