plotID;season;layer;o_hor;min_fr_liv;max_fr_liv;mean_fr_liv;sd_fr_liv;min_fr_dead;max_fr_dead;mean_fr_dead;sd_fr_dead;min_cr_liv;max_cr_liv;mean_cr_liv;sd_cr_liv;min_cr_dead;max_cr_dead;mean_cr_dead;sd_cr_dead;no
KBPL5;strong_dry;3;0.0000;0.0000;0.4050;0.2380;0.1980;0.0000;0.0000;0.0000;0.0000;0.0000;0.6390;0.1930;0.3040;0.0000;0.0000;0.0000;0.0000;4
KBPL5;strong_dry;O;2.0000;5.5370;12.4520;8.9160;2.8340;0.0000;0.3990;0.2000;0.2310;0.0000;5.2480;2.7340;2.5210;0.0000;6.9290;2.6380;3.0000;4
KBPL5;weak_rain;1;0.0000;0.3090;0.8150;0.5670;0.2090;0.0500;0.1210;0.0860;0.0350;0.0000;1.3110;0.4480;0.5910;0.0000;0.0000;0.0000;0.0000;4
KBPL5;weak_rain;2;0.0000;0.1160;0.5870;0.2860;0.2070;0.0000;0.0850;0.0400;0.0350;0.0000;0.9170;0.2290;0.4590;0.0000;0.7850;0.2530;0.0000;4
KBPL5;weak_rain;3;0.0000;0.1630;0.6090;0.3430;0.2000;0.0000;0.1050;0.0310;0.0500;0.0000;0.4490;0.2070;0.1900;0.0000;0.0000;0.0000;0.0000;4
KBPL5;weak_rain;4;0.0000;0.0180;0.1720;0.0780;0.0670;0.0000;0.0170;0.0040;0.0080;0.0000;0.0510;0.0130;0.0250;0.0000;0.0000;0.0000;0.0000;4
KBPL5;weak_rain;O;2.1250;1.0190;6.6390;4.3590;2.7680;0.0000;5.7850;1.4460;2.8930;0.0000;12.6660;4.4100;5.9830;0.0000;0.0000;0.0000;0.0000;4
KBPL6;strong_dry;1;0.0000;0.0000;1.9500;0.6450;0.6180;0.0000;0.3000;0.1730;0.1070;0.0000;7.3010;2.1460;2.5420;0.0000;0.3860;0.0770;0.0000;8
KBPL6;strong_dry;2;0.0000;0.0000;0.6280;0.3140;0.1940;0.0000;0.1020;0.0250;0.0350;0.0000;6.0140;1.3400;2.0570;0.0000;0.0000;0.0000;0.0000;8
KBPL6;strong_dry;3;0.0000;0.0000;0.2590;0.1320;0.0910;0.0000;0.2810;0.0790;0.0980;0.0000;86.4230;11.0210;30.4690;0.0000;0.0000;0.0000;0.0000;8
KBPL6;strong_dry;4;0.0000;0.0000;0.1240;0.0530;0.0460;0.0000;0.0560;0.0080;0.0200;0.0000;0.7440;0.1600;0.3010;0.0000;0.5920;0.0740;0.0000;8
KBPL6;strong_dry;O;3.2500;1.6670;12.9480;5.2930;4.6530;0.0000;4.1600;1.2530;1.6780;0.0000;3.1540;0.7710;1.4280;0.0000;6.7500;1.2040;2.0000;8
