plotID;subplotID;sample_date;no_cores;layer;o_hor;fr_liv;fr_dead;cr_liv;cr_dead;dens_fr_liv;dens_fr_dead;dens_cr_liv;dens_cr_dead;;interval
UPL9;A;10.07.2019;1;O;0;0;0;0;0;0;0;0;0;;108
UPL7;D;22.03.2019;1;1;0;0;0.211;0;0;0;0.581;0;0;;107
NPL12;C;16.03.2019;1;4;0;0;0;0;0;0;0;0;0;;95
NPL5;C;10.09.2018;1;2;0;0;0;0;8.34;0;0;0;22.976;;0
NPL2;D;24.06.2019;1;4;0;0;0.01;0.402;0;0;0.014;0.554;0;;98
NPL4;B;11.12.2018;1;3;0;0;0;4.587;0;0;0;12.637;0;;90
NPL6;A;16.03.2019;1;4;0;0;0.024;0;0;0;0.033;0;0;;95
NPL3;D;10.09.2018;1;4;0;0;0.08;0;0.04;0;0.11;0;0.055;;0
NPL8;A;10.09.2018;1;4;0;0;0.036;0.121;0;0;0.05;0.167;0;;0
NPL10;B;24.06.2019;1;3;0;0;0;0;0;0;0;0;0;;98
NPL10;A;10.09.2018;1;2;0;0;0.1;0;0;0;0.275;0;0;;0
UPL11;B;10.07.2019;1;O;0;0;0;0;0;0;0;0;0;;108
UPL10;A;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
KBPL11;A;03.12.2018;1;2;0;0;0.009;0.763;0;0;0.025;2.102;0;;86
NPL11;C;24.06.2019;1;3;0;0;0;1.311;0.164;0;0;3.61;0.452;;98
NPL3;A;10.09.2018;1;4;0;0;0.006;0.12;0;0;0.008;0.165;0;;0
NPL12;B;10.09.2018;1;2;0;0;0.29;0;0.134;0;0.799;0;0.369;;0
UPL12;C;29.09.2019;1;O;0;0;0;0;0;0;0;0;0;;80
UPL12;A;22.03.2019;1;4;0;0;0;0;0;0;0;0;0;;107
NPL11;C;24.06.2019;1;4;0;0;0;4.379;0;0;0;6.032;0;;98
NPL6;D;16.03.2019;1;4;0;0;0.011;0;0;0;0.015;0;0;;95
NPL10;B;10.09.2018;1;3;0;0;0;0;0;0;0;0;0;;0
NPL10;C;25.09.2019;1;4;0;0;0;0;0;0;0;0;0;;90
NPL11;B;10.09.2018;1;3;0;0;0.04;0;2.33;0;0.11;0;6.419;;0
NPL10;A;10.09.2018;1;3;0;0;0.17;0;0;0;0.468;0;0;;0
UPL3;C;22.03.2019;1;2;0;0;0;0;0;0;0;0;0;;107
NPL11;D;11.12.2018;1;2;0;0;0.022;2.611;0;0;0.061;7.193;0;;90
NPL7;D;16.03.2019;1;4;0;0;0.01;0.069;0;0;0.014;0.095;0;;95
NPL4;D;24.06.2019;1;2;0;0;0;0;0;0;0;0;0;;98
UPL4;C;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
NPL10;C;10.09.2018;1;3;0;0;0.06;1.16;0;0;0.165;3.196;0;;0
UPL2;D;22.03.2019;1;O;0;0;0;0;0;0;0;0;0;;107
NPL12;D;16.03.2019;1;2;0;0;0;0;0;0;0;0;0;;95
UPL9;A;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
NPL5;D;10.09.2018;1;4;0;0;0.08;0;0;0;0.11;0;0;;0
KBPL12;A;03.12.2018;1;3;0;0;0;0;0.73;0;0;0;2.011;;86
NPL7;C;11.12.2018;1;4;0;0;0;0;0;0;0;0;0;;90
NPL10;A;10.09.2018;1;1;0;0;0.2;0.03;0;0;0.551;0.083;0;;0
UPL12;B;17.12.2019;1;O;0;0;0;0;0;0;0;0;0;;77
NPL3;C;24.06.2019;1;3;0;0;0;2.908;0;0;0;8.011;0;;98
UPL8;D;17.12.2019;1;4;0;0;0;0;0;0;0;0;0;;77
